NM_MUNICIP,CD_GEOCMU,latitude,longitude,COD_TSE
ALTA FLORESTA D'OESTE,1100015,-12.470262271412489,-62.274734099206064,1120
ARIQUEMES,1100023,-9.95185794280634,-62.957152623596755,1570
CABIXI,1100031,-13.474917126006453,-60.64004458088721,1058
CACOAL,1100049,-11.301285362280955,-61.32474841009052,1007
CEREJEIRAS,1100056,-13.203518380158679,-61.26078533957627,1015
COLORADO DO OESTE,1100064,-13.15913042801483,-60.550119209360076,1074
CORUMBIARA,1100072,-12.926692024049187,-61.09165007568023,1112
COSTA MARQUES,1100080,-12.147180408758011,-64.05872670295767,1139
ESPIGÃO D'OESTE,1100098,-11.351221876209172,-60.78481652083269,1104
GUAJARÁ-MIRIM,1100106,-11.30568341333467,-64.53754354343877,1090
JARU,1100114,-10.592323880059984,-62.58474936850035,1554
JI-PARANÁ,1100122,-10.462173317373733,-61.75733300323122,1040
MACHADINHO D'OESTE,1100130,-9.204181178869552,-62.01037355938197,1511
NOVA BRASILÂNDIA D'OESTE,1100148,-11.643094315502221,-62.2801590697456,1023
OURO PRETO DO OESTE,1100155,-10.610551164428324,-62.17252308273071,1066
PIMENTA BUENO,1100189,-11.894400858166266,-60.83040501939261,1392
PORTO VELHO,1100205,-9.153590682604877,-64.30661739788927,1082
PRESIDENTE MÉDICI,1100254,-11.166360225457613,-61.87779531777344,1031
RIO CRESPO,1100262,-9.645142917574084,-62.790148033487775,1457
ROLIM DE MOURA,1100288,-11.732557121745884,-61.77159314713038,1538
SANTA LUZIA D'OESTE,1100296,-12.02673138251822,-61.70101097252866,1473
VILHENA,1100304,-12.095609116380803,-60.24837201017427,1490
SÃO MIGUEL DO GUAPORÉ,1100320,-11.614958286446091,-62.983061446914775,27014
NOVA MAMORÉ,1100338,-10.38210757722311,-64.62918328120888,27030
ALVORADA D'OESTE,1100346,-11.31134434998758,-62.54471179394781,27057
ALTO ALEGRE DOS PARECIS,1100379,-12.593067686813988,-61.88056407004181,27073
ALTO PARAÍSO,1100403,-9.64956165909976,-63.3941680361757,27090
BURITIS,1100452,-10.052208930769329,-63.94119607784858,27111
NOVO HORIZONTE DO OESTE,1100502,-11.681083550495035,-62.083034688486535,27138
CACAULÂNDIA,1100601,-10.331545078128133,-62.98733031574771,27154
CAMPO NOVO DE RONDÔNIA,1100700,-10.485020543006383,-63.79960939773465,27170
CANDEIAS DO JAMARI,1100809,-8.887036650754965,-63.32575070151388,27197
CASTANHEIRAS,1100908,-11.47088672990306,-61.87996437674764,27219
CHUPINGUAIA,1100924,-12.53732583613029,-60.89827090346492,27235
CUJUBIM,1100940,-9.170984388397171,-62.565277739242354,27251
GOVERNADOR JORGE TEIXEIRA,1101005,-10.748058682645985,-63.18412802344326,27081
ITAPUÃ DO OESTE,1101104,-9.170329212385482,-63.044856785950394,27278
MINISTRO ANDREAZZA,1101203,-11.160233513035417,-61.56896197961006,27294
MIRANTE DA SERRA,1101302,-11.07690017770174,-62.84795976467945,27316
MONTE NEGRO,1101401,-10.21072877516088,-63.37235945976015,27332
NOVA UNIÃO,1101435,-10.889347431106644,-62.532380924892514,27359
PARECIS,1101450,-12.262578586133133,-61.41537407336212,27375
PIMENTEIRAS DO OESTE,1101468,-13.173889334435515,-61.54489599821853,27391
PRIMAVERA DE RONDÔNIA,1101476,-11.878751026108125,-61.31537451034433,27413
SÃO FELIPE D'OESTE,1101484,-11.905324667100416,-61.46708379565703,27430
SÃO FRANCISCO DO GUAPORÉ,1101492,-12.368620406015939,-63.12220116729437,27456
SERINGUEIRAS,1101500,-11.807137165450563,-63.230767705580114,28894
TEIXEIRÓPOLIS,1101559,-10.94343889719914,-62.2797626676903,27472
THEOBROMA,1101609,-10.12182371482953,-62.34254501364328,27499
URUPÁ,1101708,-11.103969747071568,-62.42403337775913,27049
VALE DO ANARI,1101757,-9.732522550650977,-61.93927506720165,27510
VALE DO PARAÍSO,1101807,-10.384038303230165,-62.09397323497589,27537
ACRELÂNDIA,1200013,-9.933786248701676,-66.950433798689,27553
ASSIS BRASIL,1200054,-10.779081200290479,-70.00598967151255,27570
BRASILÉIA,1200104,-10.746577540444123,-69.20747654150156,27596
BUJARI,1200138,-9.61400112678098,-68.1738840410971,27618
CAPIXABA,1200179,-10.473590980829098,-67.83601133133779,27634
CRUZEIRO DO SUL,1200203,-7.971943383117104,-72.7548251893689,27650
EPITACIOLÂNDIA,1200252,-10.889051259029644,-68.61839583274336,27677
FEIJÓ,1200302,-8.924484276446952,-70.74482799353667,27693
JORDÃO,1200328,-9.24221943033809,-71.9059607815285,27715
MÂNCIO LIMA,1200336,-7.504478578662704,-73.43895875822827,27731
MANOEL URBANO,1200344,-9.38121821402129,-69.85393283541079,27065
MARECHAL THAUMATURGO,1200351,-9.095945597862169,-72.5593837899627,27758
PLÁCIDO DE CASTRO,1200385,-10.248913564996732,-67.33989535767338,27774
PORTO WALTER,1200393,-8.49168865308492,-72.73345348780525,27790
RIO BRANCO,1200401,-10.066062709298068,-68.37087999953229,27812
RODRIGUES ALVES,1200427,-7.843702179486773,-73.2232647344045,27839
SANTA ROSA DO PURUS,1200435,-9.41023204656566,-70.39548966927227,27855
SENADOR GUIOMARD,1200450,-9.997088026528306,-67.42717907958274,27871
SENA MADUREIRA,1200500,-9.771192072564226,-69.38160616037919,27979
TARAUACÁ,1200609,-8.23938303609606,-71.44490899497342,27898
XAPURI,1200708,-10.575567571876652,-68.50472801967814,27910
PORTO ACRE,1200807,-9.629528135525966,-67.69847482424053,27936
ALVARÃES,1300029,-3.6947123350410704,-65.32439119702926,27952
AMATURÁ,1300060,-3.4183725479672864,-68.2865429154754,27995
ANAMÃ,1300086,-3.5019152569377323,-61.718033028132105,28010
ANORI,1300102,-4.198714900240216,-62.09551222759053,28037
APUÍ,1300144,-7.759996475054077,-59.43194175344841,28053
ATALAIA DO NORTE,1300201,-5.712030002499953,-71.74163311681309,28070
AUTAZES,1300300,-3.787204328603052,-59.52552178754375,28096
BARCELOS,1300409,-0.4651857543858477,-63.43481130732234,28118
BARREIRINHA,1300508,-3.1290441371676083,-57.172441939837064,28134
BENJAMIN CONSTANT,1300607,-5.4264425220117545,-70.27621010791222,28150
BERURI,1300631,-4.606227054452729,-61.80428678564079,28177
BOA VISTA DO RAMOS,1300680,-3.1379954661773866,-57.67008282058789,28193
BOCA DO ACRE,1300706,-8.773113750159176,-68.0475392060781,28215
BORBA,1300805,-4.95755889121476,-59.534689640119716,28231
CAAPIRANGA,1300839,-3.082015131939156,-61.87773535735098,28258
CANUTAMA,1300904,-7.30083678230987,-64.06193165938289,28274
CARAUARI,1301001,-5.1185604519852586,-67.33750309849371,27022
CAREIRO,1301100,-3.7705498936237727,-60.183323846538116,27006
CAREIRO DA VÁRZEA,1301159,-3.286037390514513,-59.5987089300485,28290
COARI,1301209,-4.436255519085874,-64.1253466350082,28312
CODAJÁS,1301308,-3.289058455652844,-62.97330965814415,28339
EIRUNEPÉ,1301407,-7.022021139734143,-70.21824314587502,28355
ENVIRA,1301506,-7.573354386856304,-70.05517731079371,28371
